tic,age,prad,Mp,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2,snr_v3,T_retrieve_v3
427397014,10.077803363709789,1.0039110029445026,0.9267843699908584,1.787089064300379,3.209574673133668e+18,83.92925,-4.783388889,2.64591,15.0121,,,17.1733,0.0468,13.189,0.029,12.441,0.037,12.184,0.024,16.1605,0.001465,17.3197,0.010599,14.9424,0.002268,11.881,0.025,11.592,0.023,9.616,0.151,5.225,0.089,OSFC,10.0,roquette25,4011.0,0.922734,0.63,[0],1,1.787089064300379,1.0039110029445026,9.905435170762466e-05,0.020841799901210132,0.023830349272772347,71.87846880624832,16.78707603291423,0.9800344528989564,0,0.21932412389278433,0,,0,,0
433125667,47.863009232263806,4.081194622023248,12.3927096703735,4.900449574090197,4.104475811390148e+18,278.396189636569,-14.2709881862846,0.569589,14.4954,,,15.337,0.081,13.562,0.064,13.228,0.058,13.15,0.059,15.051,0.001111,15.4584,0.00375,14.3896,0.002979,,,,,,,,,Theia1968,47.863009232263806,Kounkel2020,6072.0,1.7773,1.13,"[6, 18]",2,,,,,,,,,0,,0,,0,,0
1658731864,398.10717055349687,1.6185418873804809,5.787930721350913,4.6719045351725,4.153068074854684e+18,278.22445243775,-12.0799038209948,0.260562,15.3208,,,16.6704,0.0462,,,,,,,16.1665,0.000952,16.9354,0.008532,15.2794,0.003615,,,,,,,,,Ruprecht_143,398.10717055349687,Cantat-Gaudin2020,6836.0,3.63062,1.48,"[6, 18]",2,,,,,,,,,0,,0,,0,,0
116201128,194.98445997580416,2.215460123857952,10.46852862329497,62.04006645086061,4.095502181511286e+18,273.084839908818,-18.982667552764,1.73517,15.7922,18.68,0.168,17.2913,0.0466,14.337,0.051,13.679,0.108,11.898,,16.6769,0.001755,17.562,0.011611,15.7254,0.005775,,,,,,,,,UPK_5,194.98445997580416,Cantat-Gaudin2020,4070.0,0.669818,0.637,[11],1,,,,,,,,,0,,0,,0,,0
424923320,602.559586074357,2.559704832429558,7.490912618964186,13.430730450109488,4.1035797780840975e+18,280.181985265663,-14.4604120416997,1.10062,15.7209,19.492,0.171,17.1317,0.0465,14.269,,13.887,0.052,13.645,0.057,16.5934,0.001049,17.3944,0.010103,15.6802,0.008423,,,,,,,,,Theia1048,602.559586074357,Kounkel2020,4972.0,0.929859,0.82,"[6, 18]",2,,,,,,,,,0,,0,,0,,0
207043411,562.3413251903492,2.302326530810092,5.296631525381149,6.2181145359248,3.3279978135218074e+18,97.8258910877661,11.0820144080227,0.465761,16.0199,18.963,0.169,17.5439,0.0467,14.734,0.035,14.209,0.047,13.983,0.07,16.9477,0.001058,17.8209,0.013815,16.0128,0.003303,13.816,0.052,13.888,0.07,12.147,,8.588,,FSR_0979,562.3413251903492,Cantat-Gaudin2020,5655.0,1.86552,1.0,[15],1,,,,,,,,,0,,0,,0,,0
343977397,302.0,2.469025526318614,11.031841126776332,1.7871256897613734,5.976581235886817e+18,255.013506159791,-37.5196171717863,1.46161,16.1907,20.469,0.163,18.4062,0.0554,14.164,0.027,13.258,0.025,12.974,0.026,17.3181,0.001827,18.536,0.035782,16.0696,0.004791,,,,,,,,,NGC6281,302.0,GaiaDR2_2018,3737.0,0.925843,0.56,[22],1,,,,,,,,,0,,0,,0,,0
167972523,50.0,4.519442581076425,6.2601947511685125,78.8555319118828,3.1042805262173414e+18,97.7884832799484,-4.85996022949595,3.09321,16.3451,20.342,0.169,,,14.558,0.036,13.872,0.045,13.682,0.054,17.7401,0.002559,19.5832,0.048534,16.4495,0.008354,13.524,0.026,13.341,0.031,12.275,,8.774,,NGC2232,50.0,GaiaDR2_2018,3120.0,0.422563,0.416701,[3],1,,,,,,,,,0,,0,,0,,0
42529554,11.481536214968818,1.497404284404134,4.193535796615027,4.706618563996961,5.977354776679056e+18,256.777874621258,-34.9840827629834,0.931839,15.76,19.501,0.165,17.4416,0.047,14.191,0.04,13.47,0.054,13.229,0.044,16.7356,0.001381,17.6452,0.014241,15.6712,0.004615,13.293,0.056,13.774,0.062,12.22,,9.004,,Theia1690,11.481536214968818,Kounkel2020,4346.0,1.34325,0.68,[22],1,,,,,,,,,0,,0,,0,,0
394195545,169.8243652461746,2.0577789227842977,1.5257762207960714,59.89493649910877,4.3144332947541e+18,286.808857998899,14.142279713981,0.606546,16.4026,18.414,0.08,17.8708,0.0464,15.129,0.05,14.67,0.059,14.389,0.101,17.301,0.000869,18.1273,0.009437,16.3615,0.006323,,,,,,,,,Theia3061,169.8243652461746,Kounkel2020,4972.0,1.2693,0.82,[9],1,,,,,,,,,0,,0,,0,,0
