tic,rp,period,mstar,rstar,tmag,teff,age
178158514,19.74382467571725,2.202001135676311,1.33,1.81388,11.6268,6497.0,34.673685045253166
178333033,5.681910325187376,4.841375901711697,0.76,0.689175,14.7369,4727.0,34.673685045253166
72098116,24.94870989655631,13.516204935303028,1.43,2.76243,11.8395,6710.13,8.51138038202376
108130063,18.590539320095857,2.3661416356234137,1.23,1.22635,15.0955,6287.0,4.073802778041131
177010001,6.630386520339599,5.68753574436981,1.02,3.02948,12.4455,5726.0,6.165950018614822
118003490,27.148355153099565,3.882142656112999,0.92,1.33988,15.1149,5333.0,7.585775750291836
204557192,36.64779177839333,6.718586571677401,1.42,3.31943,14.4274,6698.0,9.332543007969903
176236861,19.487269195862204,19.96952367324757,1.24,2.47961,13.3488,6306.0,15.13561248436207
433133167,17.5761693223495,3.039387730741631,0.95,1.23519,14.9641,5441.0,15.13561248436207
1854045567,9.68620053085262,1.528233000557216,1.31,1.50871,16.1373,6458.0,15.848931924611142
451941185,22.52353018271509,5.178107082354358,1.37,2.60646,14.9119,6578.0,15.848931924611142
748177829,51.60185848934949,11.91824272761841,1.03,2.95162,14.1111,5752.0,22.90867652767775
177329038,19.756368940138923,23.190645133759684,1.22,2.1126,15.9519,6255.0,23.442288153199225
1764963646,25.563863207272608,10.745172821306111,1.17,1.72825,14.9831,6166.0,23.442288153199225
31829992,32.23825340830338,3.850368018085133,1.23,1.90445,14.8924,6276.0,23.442288153199225
165258117,55.10795802518607,8.199351203515697,1.17,2.36707,13.3328,6158.0,28.84031503126605
432880373,37.85919887664503,9.19061999247236,1.17,1.4091,15.374,6160.0,35.481338923357534
217831985,55.74827235370803,8.86072097671711,1.4,1.77272,15.8411,6656.0,35.481338923357534
217195383,30.78656473825345,21.08047529929661,1.29,2.37586,15.7546,6420.0,35.481338923357534
220109113,9.622046899417686,11.135591795724489,1.16,1.12158,16.3217,6125.0,32.35936569296281
161943269,23.481464547181098,3.5222960631343905,1.04,2.61395,15.0005,5783.0,38.904514499428046
175441281,47.148180077454064,7.454635639429519,0.96,1.10289,16.0103,5500.0,39.81071705534969
50622261,4.278185818694931,6.395376278957591,1.05,1.66846,10.9984,5838.12,6.0
35948644,6.259853088145055,12.035752361935582,0.734,0.936485,12.6512,4627.0,25.0
124328163,5.482452350021037,6.028082132449868,0.696,0.927967,12.9133,4445.0,25.0
427450353,21.50842607663063,3.0986550363275573,0.552091,0.557658,15.7137,3450.0,5.0
144666533,5.126594330667022,8.800155461120786,1.0,2.24688,10.9922,5642.0,8.08961030268752
144610660,8.358684411288213,13.30796115524139,1.03,2.22639,10.9026,5761.15,8.61155211087968
436014976,5.721816836365142,4.223167616360382,0.513,1.06527,14.8468,3609.0,6.4135297390994666
200516522,6.866887888781958,7.6102876336232,0.481,1.1389,14.6211,3542.0,9.34445465172801
264591649,7.103210143051123,1.0977246455630727,0.582,1.13301,13.7987,3810.0,8.660579389227104
427379967,5.813026541640934,11.582524108251052,0.621948,0.643125,15.5155,2991.0,7.229020930614627
276661547,26.06213095104705,21.85544699540573,1.09,1.78846,15.4597,5952.0,13.172643353102847
11200179,13.304659430651109,5.789791793881826,0.55,1.19272,14.2656,3711.64,10.213389767955803
220054526,12.197930385943891,2.4692792118196887,0.545319,0.550071,15.601,3204.0,7.936534485287301
4294982,5.286792943693738,14.9621106752023,0.61,1.14932,13.6429,3903.0,9.484550099228333
264462425,3.612184210739589,5.052140256089272,0.62,1.10835,13.5978,3991.0,12.743239696221888
