tic,sigmaOptical,sigmaIR,mstar,rstar,teff,age,tmag,baseline
177271345,,,1.47,1.42039,6812.0,23.442288153199225,15.3905,45
124333420,0.1389614699740959,0.11176050076810658,1.1,3.16257,5980.0,15.848931924611142,12.452,45
123544778,,,0.659,1.07101,4215.0,22.387211385683376,12.5541,45
4256668,,,0.579502,0.589579,3347.0,9.524688423679915,15.2121,45
115836628,,,1.0,2.71107,5658.0,38.904514499428046,15.3925,45
50790386,,,0.53,0.972967,3659.0,7.0,14.9791,45
427374393,,,0.662755,0.698966,3358.0,6.469542941552168,15.2497,45
436155592,,,0.630845,0.654979,3109.0,11.5884561895369,15.6509,45
116705349,,,0.96,1.57944,5474.0,41.68693834703355,15.4584,45
110053367,,,1.26,4.26928,6354.0,5.248074602497723,14.6316,45
436153932,,,1.22,2.96074,6261.84,9.71477927353728,11.9015,45
360665562,,,0.98,2.23718,5549.0,15.848931924611142,14.0572,45
427353281,,,0.68,0.829231,4330.0,14.173373635052638,14.6422,45
50748823,,,0.52,1.25791,3615.0,6.0,14.6402,45
427374523,,,0.558749,0.565229,4136.0,2.0,16.3411,45
220338715,,,0.62,1.16603,3977.0,2.5118864315095824,16.2309,45
264629487,,,0.89,1.08499,5227.78,4.897788193684466,13.0154,45
11290740,,,0.5,1.14015,3590.71,7.146280136447332,14.3268,45
4295370,,,0.540644,0.5449,3223.0,12.5914376098642,15.7625,45
177596066,,,1.282,1.16786,6395.0,34.673685045253166,12.4942,45
200525695,,,0.66,1.38539,4247.78,8.78527888102759,13.1851,45
433378467,,,1.15,2.50993,6098.0,13.80384264602884,13.8177,45
435933367,,,0.455,1.07294,3492.0,11.046748720950136,14.9367,45
50743455,,,0.570327,0.578671,3777.0,9.191723169322382,15.7756,45
361883185,,,0.69,1.18355,4388.0,42.65795188015926,15.7182,45
50525945,,,0.600132,0.614967,3353.0,10.82440631234833,15.0595,45
427450978,,,0.649847,0.680934,3346.0,10.54751966592254,14.9625,45
34511319,,,0.657317,0.691338,3319.0,9.276407119928749,14.995,45
11359253,,,0.488837,0.490747,3368.0,6.302814509919249,16.4924,45
377556655,,,1.31,4.25664,6465.0,15.848931924611142,15.3457,45
11294526,,,0.69,1.04728,4435.0,5.151512455015307,13.7468,45
436016095,,,0.391422,0.399949,3492.0,7.099018830255821,17.6301,45
427377577,,,0.535539,0.539311,3291.0,4.897788193684466,15.6691,45
177273019,,,1.09,1.68249,5952.0,47.863009232263806,14.7576,45
332974182,,,0.63,1.24229,4050.0,11.742669178649392,14.5309,45
279583437,,,0.549895,0.555185,3576.0,4.897788193684466,16.1072,45
