tic,age,prad,Mp,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2
340981829,72.44359600749905,6.232720916451841,1.99266311547801,22.879194457766765,3.3243928928527227e+18,97.6692329503798,7.0727524972475,1.0895,12.9075,11.833,0.067,13.4011,0.0459,12.313,0.05,12.132,0.059,12.063,0.056,13.287,0.000378,13.5672,0.004935,12.8403,0.001789,,,,,,,,,Theia189,72.44359600749905,Kounkel2020,6663.0,1.48496,1.41,[11],1,,,,,,,,,0,,0,,0
714701085,758.5775750291851,1.1116220552280016,1.3331749633338614,10.799901294143526,3.3267875604570296e+18,99.1762992258157,9.56326926482468,0.401199,16.4432,,,17.5072,0.0464,,,,,,,17.153,0.001325,17.7413,0.011088,16.3668,0.009345,,,,,,,,,Theia5805,758.5775750291851,Kounkel2020,5908.0,1.25449,1.07,[11],1,10.799901294143526,1.1116220552280016,6.570767199969889e-05,0.06313162110893236,0.08095521915733378,147.54664386686758,4.166704747977854,0.8267987288431015,0,0.03272594624529161,0,,0
182509473,141.25375446227554,2.090195002621056,0.8143742740353417,27.07810673279504,4.255068355499493e+18,282.23916179624,-5.12204759937137,0.645638,15.2063,17.589,0.11,16.58,0.309,13.844,0.044,13.415,0.056,13.238,0.052,16.1051,0.000793,16.9259,0.013625,15.1697,0.002081,,,,,,,,,Theia2821,141.25375446227554,Kounkel2020,5283.0,1.97468,0.91,[0],1,,,,,,,,,0,,0,,0
138827898,5.62048879561881,1.861464083045012,10.61106107310752,34.48966589352339,3.2235303275470244e+18,82.60068381,1.748678817,2.7492,14.9205,19.135,0.164,17.2603,0.0484,13.445,0.028,12.765,0.026,12.485,0.028,16.1323,0.001078,17.4896,0.017505,14.9773,0.002722,12.36,0.023,12.245,0.025,12.073,0.33,8.961,,OSFC,10.0,roquette25,3425.0,0.667875,0.64036,[3],1,,,,,,,,,0,,0,,0
433537417,13.80384264602884,1.5249804346389442,4.518652687925899,7.083299273286681,4.104720418344474e+18,279.016662920127,-13.0635859876735,0.692536,15.175,,,16.399,1.133,14.111,0.029,13.747,0.033,13.692,0.053,15.8376,0.001036,16.3406,0.009256,15.0598,0.004504,,,,,,,,,Theia1868,13.80384264602884,Kounkel2020,5895.0,1.26145,1.07,"[1, 14]",2,,,,,,,,,0,,0,,0
176706366,81.28305161640996,2.3394796176763126,4.42452058717239,14.604310826095665,4.104226080409283e+18,276.771464214431,-14.5825915436849,0.830417,15.7039,17.06,0.125,16.514,0.15,14.678,0.058,13.613,,13.275,,16.3308,0.001016,16.8251,0.009405,15.6127,0.008326,,,,,,,,,Theia590,81.28305161640996,Kounkel2020,5506.0,0.814704,0.97,[14],1,,,,,,,,,0,,0,,0
365691048,6.17542765786056,4.434605514074304,7.613262266245948,33.84456404460443,3.2379783183562476e+18,81.50234953,6.378293065,2.12494,15.3039,20.565,0.163,17.4349,0.0464,13.647,0.027,12.797,0.03,12.516,0.028,16.4583,0.001333,17.681,0.007659,15.3477,0.004226,12.365,0.024,12.386,0.024,11.507,0.301,8.816,0.533,OSFC,10.0,roquette25,4313.0,0.953397,0.67,[10],1,,,,,,,,,0,,0,,0
50527325,851.1380382023759,2.6851888184027906,14.425575058804489,8.05422253520209,3.209273853622956e+18,81.9027904358755,-5.59090093853874,1.25765,14.4896,16.162,0.044,15.329,0.103,13.71,0.024,13.268,0.028,13.202,0.035,15.0525,0.000399,15.524,0.002415,14.4346,0.001974,13.145,0.025,13.205,0.031,11.864,,8.829,,Theia6046,851.1380382023759,Kounkel2020,5282.0,0.880112,0.91,[2],1,,,,,,,,,0,,0,,0
34605505,1445.439770745928,1.3244390097065766,2.573523596881542,1.008317645042103,4.204094446703718e+18,283.903446824662,-7.52825889809137,0.824784,14.2359,15.514,0.043,14.991,0.046,13.4,0.024,13.129,0.027,13.054,0.026,14.7549,0.000568,15.1528,0.002691,14.157,0.002119,12.989,0.031,13.113,0.032,11.858,,8.838,,Theia7097,1445.439770745928,Kounkel2020,5862.0,1.33195,1.06,[8],1,1.008317645042103,1.3244390097065766,8.274166611163052e-05,0.033470717529424716,0.029270917825028036,26.828330219033766,44.62879353670439,0.5167876083442605,0,0.1299388226928541,0,,0
427459756,4.897788193684466,11.560403034593918,10.906099099799222,22.50296511614174,3.017204634133502e+18,83.4233494398975,-6.10204203507976,,16.8228,20.347,0.168,19.0456,0.0976,14.496,0.037,13.552,0.033,12.798,0.026,18.1342,0.021938,19.1102,0.085283,16.8582,0.062839,12.166,0.023,11.426,0.021,9.496,0.041,6.933,0.093,Orion A,2.0,McBride+2019,3580.0,0.645767,0.623945,[2],1,,,,,,,,,0,,0,,0
425887569,75.0,2.9847550639886498,3.6305083175519353,12.342664420565155,4.1063567664915297e+18,280.654718924194,-11.9764358723845,3.63125,11.8853,13.838,0.017,12.9,0.069,10.871,0.024,10.479,0.024,10.373,0.026,12.5459,0.00102,13.128,0.003672,11.8225,0.002363,10.242,0.024,10.27,0.022,10.513,0.128,8.946,,LP 2441,75.0,Pang2022,4755.0,1.26068,0.764,[1],1,,,,,,,,,0,,0,,0
427451078,11.625392464440065,2.538194748157768,10.736150260237189,79.16953325479022,3.2176043335331866e+18,84.11802158,-1.093204954,2.10029,16.1768,,,18.8638,0.1046,14.324,0.028,13.674,0.03,13.349,0.033,17.6027,0.003094,18.9041,0.099214,16.2444,0.020227,13.182,0.026,12.922,0.028,12.147,,8.878,,OSFC,10.0,roquette25,3349.0,0.616365,0.60124,[3],1,,,,,,,,,0,,0,,0
427374993,12.109986840169997,2.884683765624585,3.7549916304556383,29.589364201771165,3.2156639746850775e+18,83.69817515,-4.171973297,2.26395,13.2187,14.916,0.034,14.166,0.183,12.31,0.024,11.859,0.03,11.792,0.024,13.8229,0.000272,14.3283,0.00207,13.1633,0.00095,11.71,0.027,11.772,0.027,10.467,,7.754,,OSFC,10.0,roquette25,5871.0,0.892331,1.06,[2],1,,,,,,,,,0,,0,,0
1659509045,338.8441561392021,2.764530509262172,3.315155159658824,46.01793920074175,4.154174797707358e+18,276.155500460711,-10.9680952355895,0.853205,15.1447,,,16.3988,0.0463,,,,,,,15.9484,0.001227,16.6249,0.006828,15.0638,0.009416,,,,,,,,,Theia4181,338.8441561392021,Kounkel2020,5771.0,1.2895,1.03,[14],1,,,,,,,,,0,,0,,0
229274042,316.227766016838,3.773581699104541,2.210900001169278,94.97815514535723,3.3243739606374226e+18,97.8717567339777,6.85593969212431,1.34299,13.001,13.671,0.064,13.452,0.08,12.406,0.024,12.201,0.03,12.143,0.03,13.3914,0.000575,13.6844,0.002368,12.9394,0.002308,12.07,0.022,12.136,0.026,12.245,0.499,8.988,,Theia838,316.227766016838,Kounkel2020,6471.0,1.17981,1.32,[11],1,,,,,,,,,0,,0,,0
123454071,426.5795188015934,2.843690826507391,12.384863454335717,3.790417108320248,3.0992693645373066e+18,102.776732589566,-7.28153905774793,0.417561,16.3088,17.767,0.121,17.2994,0.0461,15.344,0.05,14.758,0.068,14.733,0.126,16.9794,0.001354,17.5157,0.008826,16.2139,0.005534,14.702,0.029,14.993,0.064,12.525,,8.708,,Theia4634,426.5795188015934,Kounkel2020,5350.0,1.29507,0.92,[13],1,,,,,,,,,0,,0,,0
186194420,13.80384264602884,2.380439292610153,6.69810023107881,72.7463463949834,4.1047931878830177e+18,278.118349871432,-13.2798229230788,0.894838,14.4207,17.089,0.103,15.492,0.023,13.347,0.02,12.967,0.032,12.793,0.03,15.1382,0.000655,15.7456,0.003718,14.3535,0.006834,12.829,0.062,13.468,0.055,11.841,,8.856,,Theia1868,13.80384264602884,Kounkel2020,5511.0,1.55057,0.97,"[1, 14]",2,,,,,,,,,0,,0,,0
