tic,age,prad,pmass,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2
202123440,123.02687708123813,2.1947694443744523,6.164903081753156,62.54275683562764,3.1344063889035443e+18,101.608195464963,8.84642100786779,0.805607,15.1978,17.382,0.067,15.932,0.332,14.285,0.026,13.905,0.043,13.81,0.055,15.8171,0.000955,16.341,0.009285,15.1422,0.002538,13.672,0.027,13.656,0.039,11.711,,8.705,,Theia2658,123.02687708123813,Kounkel2020,5405.0,1.05588,0.94,[11],1,,,,,,,,,0,,0,,0
264538261,1479.108388168207,1.1572430940290317,1.544610145744151,15.459905028874855,3.2376453767876644e+18,81.5762923088886,5.68094191351355,0.55825,15.592,17.03,0.11,16.538,1.133,14.776,0.039,14.405,0.047,14.513,0.119,16.1049,0.000729,16.5206,0.006421,15.5364,0.002931,14.385,0.032,14.409,0.053,11.998,0.328,8.492,,Theia7143,1479.108388168207,Kounkel2020,5711.0,1.02893,1.02,[10],1,,,,,,,,,0,,0,,0
434378481,199.52623149688827,1.4199734599582106,3.38514873100832,23.801814165261668,3.331941555572869e+18,93.6601834576852,12.4025822945013,0.463956,13.9046,15.379,0.069,14.497,0.137,13.044,0.027,12.696,0.03,12.593,0.033,14.4758,0.000428,14.943,0.003642,13.8423,0.002035,12.35,0.022,12.413,0.026,12.393,,8.718,,Theia3295,199.52623149688827,Kounkel2020,6198.0,2.83733,1.19,[18],1,,,,,,,,,0,,0,,0
97572025,338.8441561392021,1.2210784649634676,1.8865632175059384,46.660961121882615,3.343811913166804e+18,90.0651118295129,13.717206903706,0.568361,16.0613,17.07,0.058,16.8826,0.046,15.212,0.045,14.852,0.069,14.771,0.106,16.641,0.001338,17.1331,0.008184,16.0155,0.005916,,,,,,,,,Theia4192,338.8441561392021,Kounkel2020,5596.0,0.924058,0.99,[18],1,,,,,,,,,0,,0,,0
11200684,10.0,1.0382212704581983,1.0433215195036785,1.4462288064854345,3.2161150106751247e+18,84.53608333333331,-2.594833333,0.42535,16.1357,18.513,0.059,16.9664,0.046,15.234,0.046,14.73,0.052,14.591,0.086,16.7204,0.001095,17.188,0.00816,16.0592,0.002892,,,,,,,,,OSFC,10.0,roquette25,5488.0,1.12743,0.96,[2],1,,,,,,,,,0,,0,,0
179931609,72.44359600749905,1.040514615966175,1.0515182144490112,9.015176598704643,4.2677179662398136e+18,287.002024499017,2.24659168549657,1.5784,13.1914,13.819,0.067,13.843,0.252,12.266,0.027,11.9,0.032,11.823,0.04,13.821,0.000392,14.3513,0.003839,13.1359,0.001581,,,,,,,,,Theia40,72.44359600749905,Kounkel2020,5804.0,1.34426,1.04,[17],1,,,,,,,,,0,,0,,0
182928263,478.630092322638,1.4630460439918165,3.816591577727377,9.867840760524729,4.253482589230549e+18,280.541273770434,-5.70477386823918,0.349625,15.3669,,,16.779,0.15,14.487,0.074,13.66,,13.468,,16.0385,0.000996,16.5868,0.009374,15.2795,0.004174,,,,,,,,,Theia4850,478.630092322638,Kounkel2020,6702.0,2.15954,1.42,[0],1,9.867840760524729,1.4630460439918165,3.840870471272033e-05,0.011166201603730375,0.012091768500010197,86.94798677188076,4.56026815714516,0.3990764707535379,0,0.09323087540552642,0,,0
135563975,234.4228815319917,1.4306443639707265,3.487962685625887,3.333157190896338,4.089924393425482e+18,276.454013444356,-22.6887178651131,4.89716,9.8314,10.986,0.111,10.188,0.008,9.197,0.02,8.916,0.026,8.822,0.026,10.2855,0.00029,10.649,0.001901,9.78155,0.001808,8.605,0.023,8.681,0.021,8.637,0.034,7.885,0.228,Theia431,234.4228815319917,Kounkel2020,5738.0,1.6098,1.025,[22],1,3.333157190896338,1.4306443639707265,6.609303707733222e-05,0.003975241040482179,0.0007791644292628581,82.2657991387448,13.500713414568605,0.16036278933756642,0,2.880717365814907,0,,0
397311080,51.28613839913648,1.3684049848778637,2.9237457098179864,9.67379864089254,4.512793198205108e+18,288.10951664813,15.645302575065,0.373471,14.9431,,,15.809,0.32,13.663,0.035,13.498,0.032,13.37,0.046,15.6877,0.000565,16.3448,0.00316,14.8915,0.001937,,,,,,,,,UBC_122,51.28613839913648,Cantat-Gaudin2020,6755.0,2.7329,1.44,[9],1,,,,,,,,,0,,0,,0
358584774,338.8441561392021,2.5365115307404213,9.85150633189845,5.0998440333026105,2.019071070847301e+18,290.904737366645,22.0859029928119,1.75481,15.0357,17.606,0.069,16.149,0.15,13.756,0.036,13.12,0.038,12.871,,15.8726,0.000545,16.664,0.005242,14.9965,0.001859,12.731,0.028,12.904,0.038,12.08,0.282,8.991,,Theia738,338.8441561392021,Kounkel2020,4602.0,0.797176,0.728,[7],1,,,,,,,,,0,,0,,0
