tic,teff,tmag,mass,radius,sigma,GAIA,ra,dec,mstar,rstar,plx,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,age,e_age,assoc,ref
470969876,5043.72,11.9381,0.841,0.772019,0.0028822355999998,9.766963163931727e+17,110.38510275305,49.2507362266722,0.841,0.772019,4.98962,13.704,0.03,12.658,0.069,11.117,0.022,10.631,0.03,10.563,0.022,12.5325,0.000815,13.048,0.003326,11.8868,0.002251,10.505,0.023,10.566,0.02,10.467,0.082,8.641,,97.0,,Theia_214,Kounkel+2019;Kounkel+2020
470975353,5546.07,11.4245,0.976,0.821913,0.0021388293986401,9.76398554900261e+17,110.997187377401,48.339561920834,0.976,0.821913,4.88776,12.896,0.063,12.102,0.046,10.696,0.021,10.353,0.026,10.28,0.021,11.9349,0.000689,12.3554,0.002301,11.3732,0.001876,10.229,0.022,10.265,0.021,10.168,0.069,8.843,,175.0,,Theia_429,Kounkel+2019;Kounkel+2020
470978382,6118.89,10.0746,1.154,1.21566,0.0010369570478399,9.833236957446828e+17,111.114400419181,51.7960369169322,1.154,1.21566,5.38837,11.154,0.114,10.719,0.008,9.521,0.023,9.262,0.028,9.208,0.025,10.4498,0.000366,10.737,0.000907,10.0237,0.000873,9.175,0.023,9.187,0.019,9.184,0.031,9.011,,97.0,,Theia_214,Kounkel+2019;Kounkel+2020
470982485,6567.0,9.69675,1.363,1.34146,0.00089714816568,9.869190987677076e+17,111.326233025992,53.8105961141133,1.363,1.34146,5.00697,10.694,0.075,10.109,0.005,9.291,0.024,9.118,0.028,9.049,0.023,10.0237,0.00062,10.2746,0.001188,9.65374,0.001124,8.977,0.021,9.004,0.02,8.972,0.034,8.901,0.52,97.0,,Theia_214,Kounkel+2019;Kounkel+2020
471012662,3462.0,11.2355,0.44,0.393567,0.0043901425108798,3.74400893423205e+17,15.9252172286101,40.8544298229262,0.44,0.393567,32.4949,14.66,0.062,13.097,0.055,9.372,0.038,8.839,0.047,8.513,0.03,12.3369,0.000543,13.7315,0.003859,11.1446,0.012698,,,,,,,,,150.0,,ABDMG,
48615274,5271.02,11.4139,0.903,0.854744,0.0020471217911997,2.898329663186537e+18,96.4634724097009,-28.1808912026624,0.903,0.854744,5.01601,13.223,0.36,12.357,0.027,10.492,0.024,10.068,0.022,9.932,0.023,11.9778,0.001198,12.4549,0.004292,11.3562,0.003405,9.884,0.022,9.866,0.019,9.803,0.04,9.112,,19.0,,Vela,Kerr+2023
48754248,7735.0,11.7835,1.823,1.49701,0.0029125942487999,2.927141334603795e+18,100.463505106273,-20.723300855282,1.823,1.49701,1.38902,12.245,0.287,12.178,0.026,11.453,0.023,11.367,0.023,11.34,0.021,11.9748,0.000379,12.1136,0.00118,11.7305,0.000833,11.327,0.023,11.34,0.022,11.242,0.139,8.933,,174.0,,Theia_476,Kounkel+2019;Kounkel+2020
49013411,7987.0,11.7685,1.93,1.58182,0.0029733901300801,2.9272799761487227e+18,101.103683463819,-20.1565378519041,1.93,1.58182,1.3097,12.105,0.269,12.165,0.029,11.466,0.023,11.381,0.024,11.341,0.023,11.9492,0.000387,12.0805,0.001142,11.7096,0.001055,11.31,0.023,11.314,0.021,11.584,0.21,8.966,,174.0,,Theia_476,Kounkel+2019;Kounkel+2020
49174442,6003.0,10.3532,1.11,0.963451,0.0012170847600001,5.450066525122304e+18,165.300075161959,-33.2469631856627,1.11,0.963451,5.97336,11.656,0.138,10.992,0.009,9.823,0.027,9.531,0.022,9.451,0.023,10.7682,0.000923,11.0983,0.001305,10.3086,0.000967,9.401,0.023,9.441,0.02,9.354,0.035,8.555,0.298,190.0,,Theia_430,Kounkel+2019;Kounkel+2020
49178630,4097.0,9.6426,0.64,1.05168,0.00677483140464,5.401795662560501e+18,165.466272624368,-34.7047309864649,0.64,1.05168,16.6428,12.058,0.187,10.92,0.1,8.217,0.024,7.558,0.042,7.297,0.024,10.4393,0.004198,11.1934,0.021028,9.53708,0.008307,7.009,0.052,6.878,0.021,4.54,0.014,1.516,0.017,10.0,2.0,TWH,Luhman2023
49183531,7951.0,11.7727,1.91,1.52855,0.00251943268032,2.9272000210383084e+18,101.30542202298,-20.6342607142502,1.91,1.52855,1.35182,11.795,0.223,11.739,0.021,11.441,0.023,11.373,0.022,11.353,0.023,11.9534,0.000309,12.0866,0.001048,11.7171,0.000787,11.318,0.023,11.349,0.022,11.355,0.171,9.091,,174.0,,Theia_476,Kounkel+2019;Kounkel+2020
49183658,7697.0,11.7862,1.81,1.51349,0.0028079237375999,2.9270122107108347e+18,101.418047618243,-20.7141132367507,1.81,1.51349,1.3609,12.298,0.022,11.924,0.046,11.467,0.023,11.343,0.025,11.306,0.026,11.9723,0.00045,12.1033,0.001898,11.7317,0.000646,11.271,0.022,11.317,0.021,11.587,0.208,8.837,,174.0,,Theia_476,Kounkel+2019;Kounkel+2020
49184380,7779.0,11.764,1.84,1.46898,0.00261011373696,2.926889752599638e+18,101.307947328098,-21.132017588354,1.84,1.46898,1.40034,12.251,0.015,11.876,0.046,11.481,0.024,11.374,0.021,11.359,0.026,11.9413,0.000263,12.0694,0.001115,11.7127,0.000622,11.344,0.023,11.378,0.021,11.583,0.192,9.119,,174.0,,Theia_476,Kounkel+2019;Kounkel+2020
49242966,7847.0,11.7338,1.87,1.59662,0.0022903412774401,2.9268337805859e+18,101.481515579928,-21.3506588426757,1.87,1.59662,1.30253,12.439,0.322,11.972,0.022,11.426,0.026,11.381,0.023,11.306,0.021,11.9088,0.000288,12.0363,0.000947,11.6817,0.000643,11.302,0.023,11.311,0.021,11.371,0.159,8.788,,174.0,,Theia_476,Kounkel+2019;Kounkel+2020
49243362,7996.0,11.6257,1.93,1.63145,0.00264126858336,2.926893635249963e+18,101.500314057963,-21.1131328179949,1.93,1.63145,1.32358,12.073,0.017,11.774,0.046,11.33,0.026,11.195,0.023,11.154,0.021,11.7888,0.000453,11.9074,0.001195,11.5712,0.000976,11.134,0.023,11.152,0.022,11.014,0.112,8.765,,174.0,,Theia_476,Kounkel+2019;Kounkel+2020
49243748,7979.0,11.6409,1.92,1.5713,0.0027783388728,2.9269941031287685e+18,101.53325317621,-20.874925608157,1.92,1.5713,1.34366,12.099,0.026,11.718,0.034,11.383,0.023,11.328,0.022,11.298,0.021,11.7938,0.000378,11.9066,0.001008,11.5913,0.000553,11.249,0.021,11.276,0.019,11.209,0.145,9.065,,174.0,,Theia_476,Kounkel+2019;Kounkel+2020
49244384,8164.0,11.6801,1.99,1.54673,0.0027356633668799,2.927020663206313e+18,101.503956584959,-20.5459572302693,1.99,1.54673,1.31767,11.527,0.176,11.752,0.046,11.378,0.023,11.323,0.022,11.302,0.023,11.8178,0.000405,11.9179,0.001263,11.6261,0.000788,11.304,0.023,11.315,0.02,11.489,0.209,8.806,,174.0,,Theia_476,Kounkel+2019;Kounkel+2020
49244759,7595.0,11.7715,1.77,1.52839,0.0027920249416799,2.9272356864464773e+18,101.536479866113,-20.3254381891871,1.77,1.52839,1.37479,11.893,0.21,11.576,0.015,11.428,0.022,11.339,0.022,11.317,0.021,11.9677,0.000361,12.1088,0.000995,11.7205,0.000898,11.333,0.023,11.353,0.022,11.378,0.166,8.968,,174.0,,Theia_476,Kounkel+2019;Kounkel+2020
49253492,7776.0,11.6889,1.84,1.54486,0.0024206770800002,2.927017738322856e+18,101.670160232179,-20.5898334959054,1.84,1.54486,1.37746,12.314,0.338,11.684,0.023,11.377,0.024,11.275,0.021,11.252,0.024,11.8653,0.000273,11.9911,0.001212,11.6361,0.000887,11.22,0.023,11.245,0.022,11.361,0.16,9.163,,174.0,,Theia_476,Kounkel+2019;Kounkel+2020
49253594,7873.0,11.6841,1.88,1.57843,0.00257691366864,2.9270158828970035e+18,101.548707144463,-20.6490106346354,1.88,1.57843,1.37056,12.182,0.025,11.817,0.035,11.409,0.033,11.26,0.037,11.206,0.03,11.8694,0.000307,12.0042,0.0011,11.6283,0.000678,11.017,0.022,11.033,0.02,10.952,0.096,9.134,,174.0,,Theia_476,Kounkel+2019;Kounkel+2020
49305185,8169.0,11.6445,2.0,1.48792,0.0016980293591999,2.926990048679648e+18,101.58701916209,-20.9246226316908,2.0,1.48792,1.4009,11.805,0.034,11.695,0.035,11.368,0.036,11.307,0.046,11.284,0.031,11.7853,0.000383,11.8906,0.001312,11.5925,0.000722,11.27,0.026,11.304,0.025,11.474,0.165,8.277,,174.0,,Theia_476,Kounkel+2019;Kounkel+2020
49314446,8147.0,11.6076,1.99,1.50876,0.0022626888004801,2.926990357917228e+18,101.713989367893,-20.9248094090588,1.99,1.50876,1.40129,12.002,0.017,11.705,0.046,11.32,0.024,11.226,0.022,11.18,0.019,11.747,0.000444,11.8506,0.001189,11.556,0.000801,11.179,0.023,11.196,0.02,11.061,0.121,8.915,,174.0,,Theia_476,Kounkel+2019;Kounkel+2020
49615022,6806.0,7.93843,1.465,1.47791,0.0003719322936,2.8980713123141115e+18,95.5778087203035,-29.8595604138162,1.465,1.47791,9.48094,8.638,0.0,8.31,0.03,7.556,0.027,7.439,0.04,7.382,0.023,8.21782,0.00031,8.43283,0.001223,7.90205,0.001489,7.314,0.036,7.346,0.02,7.323,0.016,6.797,0.06,107.0,,Theia_301,Kounkel+2019;Kounkel+2020
49906916,6071.45,6.9862,1.13,1.27873,0.00071360703792,3.2617332026499727e+18,49.16945022994,-3.53025728141151,1.13,1.27873,20.506,7.955,0.003,7.48,0.03,6.457,0.021,6.209,0.026,6.099,0.021,7.34899,0.001053,7.62548,0.003857,6.93823,0.007635,6.039,0.119,5.961,0.048,6.063,0.015,5.99,0.046,45.0,,THA,
49944889,6480.0,9.50797,1.322,1.32135,0.0008977502937599,4.652448462198949e+17,39.3705448494388,60.5869890797034,1.322,1.32135,5.6456,10.406,0.055,9.981,0.004,9.036,0.023,8.851,0.038,8.76,0.016,9.84595,0.000324,10.104,0.000459,9.46275,0.000422,8.724,0.023,8.74,0.02,8.842,0.037,9.077,,55.0,,Theia_133,Kounkel+2019;Kounkel+2020
49956088,5741.0,9.6724,1.026,0.933246,0.0008124197687999,3.245809078825048e+18,59.9677653521871,-4.4450863805181,1.026,0.933246,9.01267,10.885,0.107,10.408,0.007,9.081,0.034,8.793,0.025,8.662,0.02,10.1192,0.000777,10.4805,0.002533,9.62774,0.001717,8.641,0.023,8.677,0.02,8.632,0.027,8.92,0.51,90.0,,Crius_172,
50113028,8073.0,11.4949,1.96,1.60242,0.0022205693966399,3.0336975147164703e+18,112.199613211471,-12.4461879644515,1.96,1.60242,1.46822,11.822,0.216,11.7,0.019,11.113,0.023,11.07,0.024,11.03,0.025,11.6732,0.000378,11.8064,0.001403,11.4373,0.000751,11.011,0.022,11.041,0.02,11.261,0.215,8.367,,137.0,,Theia_379,Kounkel+2019;Kounkel+2020
50524132,6186.0,10.5106,1.18,1.89089,0.0012895405286399,3.220302676802813e+18,81.7535475837425,-1.29931538818546,1.18,1.89089,2.76672,11.547,0.146,11.039,0.01,9.97,0.024,9.69,0.023,9.621,0.021,10.9201,0.000637,11.2419,0.001284,10.4622,0.000906,9.559,0.024,9.582,0.021,9.472,0.038,8.321,,9.0,,Ori-Per,Kerr+2023
50524247,6624.0,10.3922,1.39,1.88236,0.0012792896092799,3.22019207280595e+18,81.8524830983337,-1.46173295773513,1.39,1.88236,2.66365,11.373,0.145,10.973,0.01,9.903,0.023,9.68,0.022,9.649,0.021,10.7424,0.000499,11.0084,0.001168,10.3403,0.000804,9.616,0.024,9.619,0.021,9.511,0.038,8.447,,9.0,,Ori-Per,Kerr+2023
50524284,5262.0,11.0016,0.9,1.99445,0.00181062130968,3.220189976861928e+18,81.758140358125,-1.51483105300204,0.9,1.99445,2.85358,12.657,0.471,12.277,0.034,10.143,0.023,9.587,0.022,9.295,0.023,11.576,0.001592,12.0576,0.003554,10.9449,0.002718,8.836,0.023,8.515,0.02,6.379,0.016,4.243,0.029,9.0,,Ori-Per,Kerr+2023
