,tic,ra,dec,teff,plx,rstar,mstar,tmag,age,assoc,ref,rms
1005,436158883,83.8734,9.93554,4810.0,1.2126,3.67362,,12.3069,,OSFC,roquette25,0.0009418486956115635
1006,436158747,83.95575000000001,9.638452777777776,3855.0,2.44229,1.0637,0.594,14.2555,,OSFC,roquette25,
1007,436013427,83.71136,10.13478,4621.0,0.371041,12.9443,,12.3002,,OSFC,roquette25,0.0018888707045211506
1008,302970587,83.26642500000001,11.968322222222223,3529.0,2.30028,1.36704,,14.3653,,OSFC,roquette25,
1009,436101474,83.75045833333334,9.77065,3129.0,2.42413,0.484831,0.482866,16.6854,,OSFC,roquette25,
1010,200588717,83.26414583333333,11.796738888888887,4119.27,,,,13.4458,,OSFC,roquette25,0.0023684433213675554
1011,302969745,83.23027083333334,12.684588888888891,,,,,13.1791,,OSFC,roquette25,0.0033379545195419413
1012,436158856,83.98791666666668,9.781363888888889,3611.0,2.40595,1.29395,,14.4177,,OSFC,roquette25,
1013,716203793,83.22888333333333,12.889766666666668,3116.0,2.64084,,,13.8469,,OSFC,roquette25,
1014,436013289,83.5164,9.87008,3774.0,2.63552,0.943189,0.572,14.6817,,OSFC,roquette25,
1015,200540937,83.19543333333333,10.731786111111113,3562.0,2.67127,0.910462,0.49,14.8532,,OSFC,roquette25,
1016,200540489,83.14460416666665,11.214627777777778,3702.0,2.40966,1.19921,0.55,14.3625,,OSFC,roquette25,
1017,716188126,83.12231666666666,12.023297222222222,,1.20668,,,14.1936,,OSFC,roquette25,
1018,200527281,83.10921666666667,11.906730555555557,3604.91,2.45632,1.54761,,13.7078,,OSFC,roquette25,
1019,436013351,83.52881,10.01681,5036.55,2.47632,2.50478,,10.9728,,OSFC,roquette25,
1020,200526672,83.02717083333333,11.25051388888889,4417.0,2.2566,1.95107,,12.4463,,OSFC,roquette25,0.007521158124920366
1021,436155842,83.931,9.907299999999998,3096.0,2.16642,0.601683,0.58946,16.1772,,OSFC,roquette25,
1022,302762311,82.95485,12.533513888888889,7275.0,2.53828,1.63593,1.641,13.0101,,OSFC,roquette25,0.006644413886884165
1023,302762795,82.95290416666666,13.090686111111111,5613.0,2.48306,1.66934,0.993,12.705,,OSFC,roquette25,0.003637634895062858
1024,200517783,82.94802916666667,11.247569444444444,,,,,14.6377,,OSFC,roquette25,
1025,436013191,83.64658333333334,9.463802777777778,3612.0,2.49256,1.15616,0.51,14.5576,,OSFC,roquette25,
1026,200517776,82.94303333333333,11.255672222222222,3896.0,2.33406,1.71937,,13.2798,,OSFC,roquette25,0.0023743987753239992
1027,156391662,86.939325,8.555474,3941.0,2.55394,1.46482,,13.3249,,OSFC,roquette25,0.00424424277372798
1028,200517776,82.94303333333333,11.255672222222222,3896.0,2.33406,1.71937,,13.2798,,OSFC,roquette25,0.0023743987753239992
1029,200517411,82.93913333333333,11.63295,3130.0,,0.621136,0.605001,14.8626,,OSFC,roquette25,0.01858205319776554
1030,436153928,84.06929166666669,9.846802777777778,3972.0,2.50507,1.3904,,13.5899,,OSFC,roquette25,0.010664411461039844
1031,200517192,82.91629999999999,11.846725,3513.0,2.64272,0.907811,0.47,15.0467,,OSFC,roquette25,
1032,302761576,82.8315,12.161399841308594,3064.0,2.63356,0.693394,0.658786,15.394,,OSFC,roquette25,
1033,302761847,82.90668333333333,11.971808333333334,5004.67,0.204725,9.22011,,13.4323,,OSFC,roquette25,0.0026886538557867323
1034,200518168,82.89429583333335,10.830297222222224,,,,,14.1477,,OSFC,roquette25,
1035,200517218,82.894075,11.82495,,,,,13.3731,,OSFC,roquette25,0.003109017295132299
1036,436008528,83.52325,9.712986111,5225.0,2.44259,1.89635,0.891,11.7148,,OSFC,roquette25,
1037,436011109,83.71954,9.908499717712402,3465.0,2.31345,0.593532,0.58278,15.9094,,OSFC,roquette25,
1038,200517965,82.89229583333334,11.062536111111111,,,,,14.6451,,OSFC,roquette25,
1039,200515765,82.86313333333335,10.56618888888889,3647.65,2.36538,1.05544,0.53,14.6986,,OSFC,roquette25,
1040,200516522,82.861875,11.392441666666668,3542.0,2.43524,1.1389,0.481,14.6211,,OSFC,roquette25,
1041,436160997,83.90191,9.63523,3560.0,2.29716,1.05088,0.49,15.0556,,OSFC,roquette25,
1042,302761584,82.83554,12.15470027923584,3069.0,2.4114,,,14.9208,,OSFC,roquette25,
1043,436337191,84.25352,9.81792,5248.11,2.56801,2.01012,0.9,11.4416,,OSFC,roquette25,0.0006001875272439172
1044,436162167,84.00557,9.67664,3349.0,2.3272,0.642776,0.621684,15.6115,,OSFC,roquette25,
1045,436158932,84.0452,10.02155,4912.0,0.151331,13.8206,,13.3725,,OSFC,roquette25,0.008152228491205005
1046,200517048,82.82204,12.096599578857422,3035.0,2.45244,,,15.6571,,OSFC,roquette25,
1047,436248291,84.11102,9.56057,4971.0,1.00058,3.29628,,12.6356,,OSFC,roquette25,0.0011230829829662892
1048,436008682,83.7338,10.13502,4793.84,0.26419,8.44061,,13.5954,,OSFC,roquette25,0.0033932576905299633
1049,200526630,83.05445416666666,11.21381388888889,3701.0,2.38717,1.27658,0.55,14.1671,,OSFC,roquette25,
1050,436103262,83.77479166666667,9.868833333333331,4429.0,0.142126,17.9535,,13.2526,,OSFC,roquette25,
1051,436013412,83.6129,10.14543,4520.92,0.202423,18.4088,,13.2706,,OSFC,roquette25,
1052,436154020,83.97635,10.2787,5077.19,0.650943,4.29001,,13.0723,,OSFC,roquette25,
1053,436013472,83.7197,10.28973,5380.06,0.353836,7.00841,,12.9479,,OSFC,roquette25,0.0024832694275678246
1054,436155211,84.05171,9.64109993,3267.0,2.07937,0.683361,0.651596,15.7153,,OSFC,roquette25,
1055,302762301,82.93079166666665,12.506177777777776,4517.53,2.59389,1.47839,,12.4316,,OSFC,roquette25,0.0035532156831818984
1056,156143922,86.15405833333332,9.222191666666667,3368.0,2.48339,1.54873,,14.3691,,OSFC,roquette25,
1057,426185940,83.35917,10.02896,5000.64,0.223372,11.4949,,12.9351,,OSFC,roquette25,0.0014410156045999156
1058,436098642,83.85284505,10.19589042,6226.57,2.45216,1.65971,1.2,11.0587,,OSFC,roquette25,
1059,302831708,83.11380416666667,12.631788888888888,7210.0,2.58574,1.3381,1.616,12.2547,,OSFC,roquette25,0.00118779815954137
1060,302761966,82.863235,12.141254,,,,,17.0898,,OSFC,roquette25,
1061,436103228,83.78483333333332,9.715041666666668,5492.0,2.44435,1.64142,0.963,11.9035,,OSFC,roquette25,0.003806730321303242
