tic,age,prad,Mp,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,rec_prob,tr_prob,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2
138904885,650.0,2.589501004700508,17.112971129495612,2.908973588634105,3.2234812962002074e+18,83.0369021012529,1.64005262681674,17.4471,13.7873,18.37,0.162,16.63,0.2,12.024,0.026,11.42,0.024,11.1,0.022,15.1801,0.000867,16.9789,0.013063,13.8898,0.003552,10.971,0.022,10.799,0.02,10.839,0.115,8.609,,Hyades,650.0,Roeser2019,3141.0,0.275882,0.249359,[3],1,2.908973588634105,2.589501004700508,,0.04350689464522324,0.03680418474457786,,,0.0066314705124903,0.0510703281361979,,0,,0,,0
220078662,650.0,1.947802629748128,2.1445993570878947,7.25150873699809,3.2244545701486684e+18,84.1798902838372,3.7748166532602,15.9986,13.2816,17.556,0.25,16.352,0.114,11.612,0.024,11.032,0.022,10.773,0.019,14.5879,0.001114,16.1805,0.006801,13.3632,0.002961,10.599,0.023,10.456,0.019,10.216,0.081,9.046,,Hyades,650.0,Roeser2019,3271.0,0.33507,0.316949,[10],1,7.25150873699809,1.947802629748128,0.0028278409728747485,0.012255770284797652,0.010102885637603098,53.39956639141546,6.205605155021666,0.0066314705124903,0.03114585933653452,0.8366745213621283,0,6.603353828905433,0,,0
200544181,650.0,4.575973968369556,1.1361061663857948,6.723630200070554,3.334005437679416e+18,83.2197230421783,6.98765691888325,13.6426,14.1814,19.362,0.162,16.653,1.133,12.387,0.022,11.798,0.024,11.508,0.022,15.5725,0.002048,17.3527,0.013488,14.2822,0.004014,11.364,0.024,11.189,0.021,11.12,0.154,8.306,,Hyades,650.0,Roeser2019,3150.0,0.28945,0.264627,[10],1,,,,0.020504155116869253,0.017848105124660844,,,0.0066314705124903,,,0,,0,,0
156146161,650.0,1.3177833804752128,2.5237302415378022,36.52395151983335,3.336989409156945e+18,86.1421421573612,10.9901162639076,10.6608,12.4066,15.614,0.067,14.166,0.092,10.946,0.023,10.242,0.022,10.044,0.023,13.4896,0.001108,14.6197,0.005296,12.439,0.005954,9.973,0.023,9.918,0.02,9.785,0.05,8.817,0.479,Hyades,650.0,Roeser2019,3629.0,0.57736,0.569212,[12],1,,,,0.00874813158930161,0.007029357608551799,,,0.0066314705124903,,,0,,0,,0
156243729,650.0,1.419769038147131,3.3832045572334386,83.17013968219173,3.336914268706467e+18,86.4602374055185,10.6271523622227,13.6278,15.5874,20.072,0.163,,,13.633,0.03,13.036,0.036,12.709,0.03,17.088,0.001587,19.1986,0.035929,15.7193,0.003132,12.492,0.024,12.306,0.024,11.884,,8.564,,Hyades,650.0,Roeser2019,2973.0,0.181132,0.150763,[12],1,83.17013968219173,1.419769038147131,,0.040353145048276515,0.04252554465810873,,,0.0066314705124903,0.004240972491945666,,0,,0,,0
284286029,650.0,1.508387011118623,4.320537363947955,11.961951071062211,3.336974295169153e+18,85.9409217391568,10.7130594271723,11.9019,14.168,18.558,0.162,16.786,0.217,12.52,0.024,11.926,0.022,11.642,0.025,15.4765,0.001398,17.0303,0.011197,14.2464,0.003063,11.504,0.023,11.335,0.023,11.704,0.298,8.794,,Hyades,650.0,Roeser2019,3287.0,0.307767,0.285499,[12],1,11.961951071062211,1.508387011118623,,0.02007250132028112,0.017452874196278802,,,0.0066314705124903,0.02121774978191731,,0,,0,,0
220250070,650.0,2.1974106873883352,22.866735209504515,30.62428756142668,3.326608099542284e+18,99.7512306259394,9.42322959420197,9.45744,14.2243,18.111,0.164,16.529,1.133,12.697,0.024,12.127,0.027,11.835,0.019,15.447,0.000899,16.8314,0.009444,14.2843,0.002912,11.754,0.023,11.581,0.022,11.106,0.22,8.316,,Hyades,650.0,Roeser2019,3407.0,0.344717,0.328101,[11],1,,,,0.020609978133757874,0.018005780891274567,,,0.0066314705124903,,,0,,0,,0
220317395,650.0,0.9989803187095062,0.9109458373520644,1.624903559628775,3.351859002551513e+18,100.102394002052,11.3516254983849,9.02736,13.2798,16.767,0.036,15.318,0.069,11.883,0.026,11.228,0.024,10.993,0.023,14.4026,0.000628,15.6157,0.005955,13.3207,0.00143,10.881,0.022,10.796,0.019,10.748,0.129,8.675,,Hyades,650.0,Roeser2019,3552.0,0.478578,0.47649,[11],1,,,,0.015009744512397186,0.012372168237379669,,,0.0066314705124903,,,0,,0,,0
42564909,650.0,1.9553346134579523,4.164860591949472,25.67326114143457,3.116672125340837e+18,96.6333349661688,-3.7314327789049,8.93637,15.0125,19.771,0.162,,,13.372,0.022,12.827,0.023,12.556,0.024,16.3151,0.001547,17.8955,0.016681,15.092,0.003689,12.392,0.023,12.233,0.023,12.582,0.416,9.246,,Hyades,650.0,Roeser2019,3277.0,0.275216,0.248615,[4],1,25.67326114143457,1.9553346134579523,,0.030239881179590488,0.02890632901079169,,,0.0066314705124903,0.011941458147152827,,0,,0,,0
52963869,650.0,1.779957682809584,1.128878342926733,86.83105317319581,3.106701169785557e+18,99.4705846894689,-2.36240759311419,6.91319,12.0781,14.365,0.008,13.041,0.08,11.072,0.023,10.481,0.024,10.371,0.023,12.7889,0.000403,13.458,0.002253,12.0231,0.001435,10.292,0.022,10.357,0.022,10.208,0.064,8.342,,Hyades,650.0,Roeser2019,4447.0,0.676653,0.697,[4],1,86.83105317319581,1.779957682809584,,0.007846992239049664,0.006270172547730301,,,0.0066314705124903,0.009240990499462583,,0,,0,,0
50749303,650.0,2.7241247859933555,27.766397332978848,88.18793609328027,3.2168183588156e+18,83.0734845395435,-2.61673028663156,15.4832,12.601,16.785,0.125,15.232,0.075,10.945,0.027,10.391,0.024,10.114,0.026,13.9018,0.000633,15.4688,0.004172,12.6807,0.001615,9.949,0.023,9.793,0.021,9.692,0.094,8.071,,Hyades,650.0,Roeser2019,3285.0,0.434262,0.429551,[2],1,,,,0.010714301919714255,0.008645000896190769,,,0.0066314705124903,,,0,,0,,0
443155324,650.0,3.738897884851776,21.22485385714252,17.244716835855726,3.007876270106127e+18,95.6404605184486,-6.63633463453797,10.5067,11.17,13.544,0.032,12.218,0.046,10.159,0.026,9.607,0.027,9.406,0.021,11.9029,0.000464,12.6089,0.001847,11.1154,0.002127,9.36,0.023,9.421,0.02,9.3,0.037,8.471,,Hyades,650.0,Roeser2019,4337.0,0.708997,0.68,[4],1,,,,0.004992740331175635,0.003953325756736632,,,0.0066314705124903,,,0,,0,,0
53585342,650.0,2.869893682393997,8.027928657333732,65.76397591256097,3.103756230969955e+18,100.172794889443,-4.96249958682286,9.12075,11.4074,13.773,0.032,12.344,0.046,10.442,0.026,9.835,0.024,9.667,0.023,12.1303,0.000378,12.8194,0.002106,11.3539,0.001094,9.617,0.023,9.689,0.02,9.685,0.042,8.538,,Hyades,650.0,Roeser2019,4396.0,0.715448,0.688,[4],1,,,,0.00551805742452057,0.004376777997668681,,,0.0066314705124903,,,0,,0,,0
