tic,age,prad,pmass,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2,snr_v3,T_retrieve_v3
400655371,245.47089156850336,2.232858641414535,6.087691881118579,76.10638017910266,4.320302036772847e+18,288.870742534032,14.5160284974092,1.06587,16.1737,19.3,0.17,17.6402,0.0466,14.815,0.041,14.335,0.052,14.101,0.06,17.0729,0.00095,17.8821,0.012996,16.1203,0.004318,,,,,,,,,Theia3624,245.47089156850336,Kounkel2020,5110.0,0.793285,0.86,[9],1,,,,,,,,,0,,0,,0,,0
457251347,10.0,2.6415982239239506,13.593285097540107,21.72340648352084,3.2362952409318216e+18,81.86462208,3.969659212,3.0082,16.1295,20.463,0.165,,,14.317,0.039,13.663,0.046,13.424,0.045,17.5644,0.001707,19.4699,0.044658,16.2414,0.005207,13.244,0.025,13.056,0.03,11.675,0.209,9.001,,OSFC,10.0,roquette25,3077.0,0.470688,0.468353,[12],1,,,,,,,,,0,,0,,0,,0
142582994,537.0317963702532,2.3841501041362325,7.947053061357039,27.67827499846037,4.0935745271527127e+18,277.448435103998,-18.2351100745469,0.697587,16.3611,,,17.6298,0.0536,15.117,0.044,14.834,0.078,14.688,0.119,17.1674,0.001411,17.7886,0.041625,16.2058,0.027773,,,,,,,,,Theia5099,537.0317963702532,Kounkel2020,4976.0,0.989084,0.82,[33],1,,,,,,,,,0,,0,,0,,0
18967786,1348.962882591656,1.7090191759701152,7.295948517429657,12.90541587044317,4.470033981224424e+18,273.191144204859,3.33224967855011,0.764391,15.172,16.53,0.048,16.027,0.137,14.323,0.032,14.049,0.044,13.88,0.051,15.7266,0.000598,16.178,0.004822,15.1111,0.002438,,,,,,,,,Theia6972,1348.962882591656,Kounkel2020,5708.0,0.99313,1.02,[30],1,,,,,,,,,0,,0,,0,,0
319364569,10.0,2.7860879412743578,14.945669851579703,14.66638762625304,3.2226029539130194e+18,84.96185662,1.608142966,2.03135,16.2563,20.016,0.166,,,14.553,0.035,13.919,0.043,13.668,0.043,17.5836,0.002304,19.2068,0.040274,16.34,0.006152,13.544,0.027,13.379,0.032,12.778,,8.703,,OSFC,10.0,roquette25,3247.0,0.576303,0.56831,[1],1,,,,,,,,,0,,0,,0,,0
167975430,141.25375446227554,1.3467734388947945,2.746717697600576,11.375334434254,3.105059427126939e+18,97.7737090403212,-3.44781194666595,1.12247,15.4354,,,16.181,0.195,14.294,0.04,13.746,0.047,13.636,0.052,16.1776,0.001287,16.8367,0.006408,15.383,0.003565,,,,,,,,,Theia2824,141.25375446227554,Kounkel2020,5022.0,0.850201,0.83,[3],1,,,,,,,,,0,,0,,0,,0
432330679,389.04514499428046,2.5367049918139424,9.60892358485096,7.553823263331735,4.104339643678485e+18,277.289482431204,-14.1668675249988,0.834816,15.9389,17.888,0.129,17.017,0.0465,14.76,0.07,12.9,,12.622,,16.6557,0.000999,17.2191,0.014006,15.83,0.005971,,,,,,,,,Theia4444,389.04514499428046,Kounkel2020,5680.0,0.818723,1.01,"[6, 18]",2,,,,,,,,,0,,0,,0,,0
217823739,35.481338923357534,2.750098794749656,16.274024324475125,40.22267839630423,4.154999092134486e+18,278.375444627232,-10.6189744195713,0.537294,15.4202,18.282,0.181,17.1715,0.0469,13.926,,13.272,,13.437,0.066,16.4439,0.001117,17.4492,0.013279,15.4443,0.005197,,,,,,,,,Theia1835,35.481338923357534,Kounkel2020,6628.0,2.37447,1.39,[18],1,,,,,,,,,0,,0,,0,,0
464838682,9.0,1.9273736648510504,2.908188986044454,77.10970207382019,3.235878805198811e+18,81.9815222075581,2.90272269826453,2.46443,16.019,,,,,14.088,0.035,13.557,0.029,13.316,0.039,17.4807,0.00245,19.48,0.063825,16.1398,0.006713,13.161,0.025,12.913,0.028,12.024,0.305,8.558,,LP 2373 gp2,9.0,Pang2022,3029.0,0.564018,0.557691,[12],1,,,,,,,,,0,,0,,0,,0
182500367,630.9573444801944,0.8912724137264633,0.6158275264665563,43.29722337015844,4.255273551848548e+18,282.237248873564,-4.3420525241669,0.596268,12.7306,14.501,0.039,13.744,0.126,11.755,0.022,11.498,0.022,11.404,0.021,13.3584,0.000483,13.8852,0.002377,12.6627,0.001328,11.344,0.028,11.553,0.026,11.994,,8.983,,LP_2117,630.9573444801944,Cantat-Gaudin2020,6801.0,4.12912,1.46,[20],1,,,,,,,,,0,,0,,0,,0
35194834,107.15193052376048,2.823699561678953,15.815904272790702,12.033694115312478,4.20367938103273e+18,284.080999816733,-8.66194784851779,1.10401,13.3219,14.696,0.053,14.061,0.16,12.556,0.026,12.315,0.031,12.205,0.026,13.8118,0.000341,14.1963,0.002265,13.2579,0.001366,12.141,0.027,12.191,0.029,11.726,0.477,8.561,,Theia291,107.15193052376048,Kounkel2020,6021.0,1.4485,1.11,[19],1,,,,,,,,,0,,0,,0,,0
432961105,141.25375446227554,1.8799396026669104,11.090369746427664,5.666642891210781,4.096795409029322e+18,278.01560228928,-16.7544613663914,0.882811,15.5395,17.449,0.122,16.591,0.206,14.55,0.055,14.03,0.054,14.091,0.066,16.2125,0.00071,16.7816,0.011687,15.4673,0.014608,,,,,,,,,Theia2809,141.25375446227554,Kounkel2020,5073.0,0.926485,0.85,[33],1,,,,,,,,,0,,0,,0,,0
125413652,114.8153621496884,2.6036173367576274,11.51518455723608,26.565605308864967,3.0515721378063944e+18,105.77914991594,-8.23653775877318,1.0807,15.2677,17.009,0.113,16.268,1.133,14.342,0.026,13.889,0.045,13.81,0.052,15.9253,0.001521,16.4937,0.006501,15.2179,0.003463,13.635,0.029,13.809,0.039,12.36,,9.028,,Theia294,114.8153621496884,Kounkel2020,5355.0,0.813151,0.93,[2],1,,,,,,,,,0,,0,,0,,0
315435929,173.78008287493762,2.94669216042107,20.34034731118873,25.952559254669737,4.320313925240293e+18,288.518692905616,14.5420891617196,1.57674,12.925,14.676,0.029,13.829,0.114,11.946,0.025,11.513,0.03,11.287,0.018,13.5294,0.000308,14.0339,0.001523,12.8645,0.000877,11.156,0.025,11.208,0.025,10.988,0.156,8.876,0.45,Theia952,173.78008287493762,Kounkel2020,6437.0,1.42148,1.3,[9],1,,,,,,,,,0,,0,,0,,0
